id,created_at,updated_at,deleted_at,name,type,quanto_multiplier,ref_discount_rate,order_price_deviate,maintenance_rate,mark_type,last_price,mark_price,index_price,funding_rate_indicative,mark_price_round,funding_offset,in_delisting,risk_limit_base,interest_rate,order_price_round,order_size_min,ref_rebate_rate,funding_interval,risk_limit_step,leverage_min,leverage_max,risk_limit_max,maker_fee_rate,taker_fee_rate,funding_rate,order_size_max,funding_next_apply,short_users,config_change_time,trade_size,position_size,long_users,funding_impact_value,orders_limit,trade_id,orderbook_id,enable_bonus,enable_credit,create_time,funding_cap_ratio
1,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,GAS_USDT,direct,1,0,0.5,0.01,index,6.414,6.41,6.4009,0.000678,0.001,0,f,500000,0.0003,0.001,1,0.2,14400,500000,1,50,5000000,-0.000152,0.00075,0.000678,1000000,1709092800,84,1702427520,189986255,81703,231,5000,100,6018505,1347699345,t,t,1698152867,2
2,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,KNC_USDT,direct,1,0,0.3,0.01,index,0.6976,0.6977,0.697725,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,56,1703083980,307837136,293447,118,5000,50,2189401,1506030195,f,t,0,2
3,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ORBS_USDT,direct,10,0,0.3,0.01,index,0.04045,0.04038,0.0403,0.00005,0.00001,0,f,10000,0.0003,0.00001,1,0.2,14400,10000,1,50,40000,-0.000152,0.00075,0.00005,1000000,1709092800,57,1700211050,546010286,295913,77,5000,100,1371397,396706700,t,t,1697509085,0.75
4,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,PNG_USDT,direct,1,0,0.5,0.01,index,0.6031,0.6019,0.59891,0.00005,0.0001,0,f,10000,0.0003,0.0001,1,0.2,14400,10000,1,50,40000,-0.000152,0.00075,0.00005,1000000,1709092800,40,1709028819,1420254,38913,31,5000,100,12741,2184582,t,t,1709028511,2
5,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,SC_USDT,direct,100,0,0.1,0.1,index,0.009378,0.009378,0.00936025,0.001079,0.000001,0,f,10000,0.0003,0.000001,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.001079,1000000,1709107200,65,1703837147,77856380,260104,320,5000,50,3714210,625751125,f,t,0,0.75
6,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ZEC_USDT,direct,0.01,0,0.5,0.01,index,29.11,29.09,29.02,0.000689,0.01,0,f,500000,0.0003,0.01,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.000689,10000000,1709107200,89,1703899621,1469245148,2743854,202,5000,100,4826948,4283167379,t,t,0,2
7,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,GNS_USDT,direct,1,0,0.1,0.025,index,6.532,6.52,6.5028,0.0001,0.001,0,f,500000,0.0003,0.001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,52,1699596469,3762947,7041,31,5000,30,160026,152296679,t,t,0,0.75
8,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,AURORA_USDT,direct,10,0,0.3,0.1667,index,0.32,0.32041,0.321394,0.0001,0.00001,0,f,5000,0.0003,0.00001,1,0.2,28800,5000,1,3,50000,-0.000152,0.00075,0.0001,1000000,1709107200,28,1703837049,14129259,17909,58,5000,50,398575,604726497,t,t,1698472413,0.75
9,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,NMR_USDT,direct,0.1,0,0.3,0.025,index,31.483,31.53,31.527,0.000301,0.001,0,f,500000,0.0003,0.001,1,0.2,14400,500000,1,20,5000000,-0.000152,0.00075,0.000301,1000000,1709092800,65,1703919540,60062545,53671,83,5000,50,829022,230836194,t,t,1693799794,0.75
10,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ICX_USDT,direct,1,0,0.1,0.1,index,0.272,0.2695,0.269011,0.0001,0.0001,0,f,10000,0.0003,0.0001,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,10000000,1709107200,34,1703837149,251941161,296215,74,5000,50,3782861,606895714,f,t,0,0.75
11,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,RVN_USDT,direct,10,0,0.3,0.01,index,0.02565,0.02565,0.025641,0.0001,0.00001,0,f,500000,0.0003,0.00001,1,0.2,28800,500000,1,50,5000000,-0.000152,0.00075,0.0001,10000000,1709107200,71,1701831782,739420528,728520,108,5000,100,5096054,1182810641,f,t,0,2
12,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,LQTY_USDT,direct,1,0,0.3,0.025,index,1.6659,1.6659,1.6651,0.000174,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000174,1000000,1709107200,76,1698634986,476784727,152942,101,5000,100,4269531,2114484289,t,t,0,0.75
13,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,BEL_USDT,direct,1,0,0.3,0.025,index,0.7886,0.7886,0.78765,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,45,1703826840,490734697,138059,71,5000,50,2430431,1372426820,t,t,0,0.75
14,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,DUSK_USDT,direct,10,0,0.3,0.025,index,0.3232,0.3232,0.323075,0.0001,0.00001,0,f,500000,0.0003,0.00001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,41,1703587682,122470351,5900,31,5000,50,2059953,1270648469,t,t,0,0.75
15,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ALCX_USDT,direct,0.01,0,0.3,0.1,index,29.13,29,28.8998,0.0001,0.01,0,f,10000,0.0003,0.01,1,0.2,28800,5000,1,5,55000,-0.000152,0.00075,0.0001,1000000,1709107200,48,1703837151,199857734,101188,59,5000,50,3814920,200383190,f,t,0,0.75
16,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,REEF_USDT,direct,100,0,0.3,0.025,index,0.002074,0.002074,0.002073,0.0001,0.000001,0,f,500000,0.0003,0.000001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,10000000,1709107200,42,1703075461,580058875,508191,120,5000,50,5612358,1647775053,t,t,0,0.75
17,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,RPL_USDT,direct,0.01,0,0.1,0.025,index,31.02,30.96,30.927,0.0001,0.01,0,f,500000,0.0003,0.01,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,1000000,1709107200,51,1684465389,44492897,83258,28,5000,30,208452,125211407,t,t,0,0.75
18,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,SATS_USDT,direct,10000000,0,0.5,0.1667,index,0.00000051639,0.0000005163,0.00000051541,0.0001,0.00000000001,0,f,5000,0.0003,0.00000000001,1,0.2,28800,5000,1,3,50000,-0.000152,0.00075,0.0001,1000000,1709107200,126,1703837051,146788760,205610,564,5000,100,3882113,1083949582,t,t,1699598750,0.75
19,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,DHX_USDT,direct,1,0,0.5,0.1667,index,0.0424,0.0428,0.04281,0.0001,0.0001,0,f,5000,0.0003,0.0001,1,0.2,28800,5000,1,3,50000,-0.000152,0.00075,0.0001,1000000,1709107200,12,1703837053,122003936,262889,68,5000,100,925991,224348305,f,f,1689564129,0.75
20,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,ASTR_USDT,direct,10,0,0.5,0.025,index,0.16198,0.16198,0.16171,0.000812,0.00001,0,f,500000,0.0003,0.00001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.000812,1000000,1709107200,92,1703978942,885436847,426943,168,5000,100,4172054,1155803190,t,t,0,1.2
21,2024-02-28 13:22:08.106108+11,2024-02-28 13:22:08.106108+11,,BNX_USDT,direct,1,0,0.3,0.025,index,0.322,0.322,0.3214,0.0001,0.0001,0,f,500000,0.0003,0.0001,1,0.2,28800,500000,1,20,5000000,-0.000152,0.00075,0.0001,10000000,1709107200,60,1703598721,466550577,105715,69,5000,50,1620902,412073229,t,t,0,0.75
