,name,quanto_multiplier,mark_price,order_size_min,value_usd
75,SUN_USDT,0.1,0.011962,1,0.0011962000000000001
176,SLP_USDT,1.0,0.004196,1,0.004196
99,FITFI_USDT,1.0,0.007295,1,0.007295
144,ICP_USDT,0.001,13.06,1,0.01306
295,JASMY_USDT,1.0,0.015487,1,0.015487
185,FTT_USDT,0.01,1.7475,1,0.017475
57,XCN_USDT,10.0,0.001976,1,0.01976
61,TLM_USDT,1.0,0.02103,1,0.02103
319,RACA_USDT,100.0,0.0002218,1,0.02218
110,MBOX_USDT,0.1,0.38,1,0.038000000000000006
172,XCH_USDT,0.001,39.13,1,0.039130000000000005
175,BICO_USDT,0.1,0.4,1,0.04000000000000001
142,XEM_USDT,1.0,0.04008,1,0.04008
18,DHX_USDT,1.0,0.0428,1,0.0428
149,BAKE_USDT,0.1,0.4287,1,0.042870000000000005
209,GLMR_USDT,0.1,0.461,1,0.0461
32,MANA_USDT,0.1,0.5688,1,0.05688
174,ICE_USDT,10.0,0.00572,1,0.0572
208,CRV_USDT,0.1,0.61,1,0.061
216,WAXP_USDT,1.0,0.0694,1,0.0694
212,FIL_USDT,0.01,7.799,1,0.07799
335,VRA_USDT,10.0,0.008188,1,0.08188000000000001
301,LOOKS_USDT,1.0,0.091,1,0.091
50,RAY_USDT,0.1,0.965,1,0.0965
152,CRO_USDT,1.0,0.10198,1,0.10198
331,IOST_USDT,10.0,0.01029,1,0.1029
274,LINA_USDT,10.0,0.01055,1,0.10550000000000001
307,FLOW_USDT,0.1,1.077,1,0.1077
128,SHIB_USDT,10000.0,1.109e-05,1,0.1109
333,REQ_USDT,1.0,0.114,1,0.114
338,VGX_USDT,1.0,0.1153,1,0.1153
119,ACA_USDT,1.0,0.1155,1,0.1155
45,SPA_USDT,10.0,0.01195,1,0.11950000000000001
109,DGB_USDT,10.0,0.0124,1,0.124
195,XVS_USDT,0.01,12.78,1,0.1278
282,BSW_USDT,1.0,0.1283,1,0.1283
154,MINA_USDT,0.1,1.3005,1,0.13005
73,MBABYDOGE_USDT,100.0,0.001407,1,0.1407
194,NKN_USDT,1.0,0.1417,1,0.1417
101,PERP_USDT,0.1,1.4456,1,0.14456
51,ALPHA_USDT,1.0,0.1449,1,0.1449
248,CREAM_USDT,0.01,16.95,1,0.16949999999999998
71,MTL_USDT,0.1,1.711,1,0.17110000000000003
60,OGN_USDT,1.0,0.1854,1,0.1854
182,ORN_USDT,0.1,1.905,1,0.1905
143,ALICE_USDT,0.1,2.007,1,0.20070000000000002
139,DAR_USDT,1.0,0.2071,1,0.2071
15,REEF_USDT,100.0,0.002074,1,0.2074
256,RAD_USDT,0.1,2.089,1,0.2089
23,CEL_USDT,1.0,0.2138,1,0.2138
58,TON_USDT,0.1,2.1716,1,0.21716000000000002
30,COTI_USDT,1.0,0.2204,1,0.2204
245,GFT_USDT,10.0,0.02214,1,0.22139999999999999
196,BAND_USDT,0.1,2.218,1,0.2218
24,ONE_USDT,10.0,0.02262,1,0.2262
26,KLAY_USDT,1.0,0.2318,1,0.2318
116,AGI_USDT,1.0,0.232,1,0.232
35,MOVR_USDT,0.01,23.486,1,0.23486
34,OM_USDT,1.0,0.244,1,0.244
325,POND_USDT,10.0,0.02476,1,0.24760000000000001
10,RVN_USDT,10.0,0.02565,1,0.2565
336,DEGO_USDT,0.1,2.58,1,0.258
158,ZIL_USDT,10.0,0.02655,1,0.2655
9,ICX_USDT,1.0,0.2695,1,0.2695
273,ONT_USDT,1.0,0.2728,1,0.2728
156,AUDIO_USDT,1.0,0.2761,1,0.2761
252,LAI_USDT,10.0,0.02763,1,0.2763
222,BOBA_USDT,1.0,0.2786,1,0.2786
321,CELR_USDT,10.0,0.02823,1,0.2823
147,ACS_USDT,100.0,0.002826,1,0.2826
150,LRC_USDT,1.0,0.286,1,0.286
14,ALCX_USDT,0.01,29.0,1,0.29
5,ZEC_USDT,0.01,29.09,1,0.2909
225,GMT_USDT,1.0,0.291,1,0.291
177,ACH_USDT,11.0,0.02651,1,0.29161
92,IOTA_USDT,1.0,0.2925,1,0.2925
258,BCUT_USDT,1.0,0.3017,1,0.3017
197,LOKA_USDT,1.0,0.3037,1,0.3037
16,RPL_USDT,0.01,30.96,1,0.30960000000000004
324,STARL_USDT,100000.0,3.171e-06,1,0.3171
22,CAKE_USDT,0.1,3.178,1,0.3178
20,BNX_USDT,1.0,0.322,1,0.322
277,DASH_USDT,0.01,32.24,1,0.3224
244,ETHW_USDT,0.1,3.317,1,0.33170000000000005
286,GAL_USDT,0.1,3.379,1,0.33790000000000003
214,PEOPLE_USDT,10.0,0.03387,1,0.3387
66,ANKR_USDT,10.0,0.03399,1,0.3399
108,GARI_USDT,10.0,0.03447,1,0.3447
326,FIO_USDT,10.0,0.035,1,0.35000000000000003
96,RSR_USDT,100.0,0.003511,1,0.35109999999999997
323,XEC_USDT,10000.0,3.538e-05,1,0.35379999999999995
76,MEME_USDT,10.0,0.03552,1,0.3552
112,DYDX_USDT,0.1,3.564,1,0.35640000000000005
163,CTSI_USDT,1.0,0.3618,1,0.3618
313,RDNT_USDT,1.0,0.3666,1,0.3666
289,WOJAK_USDT,1000.0,0.0003744,1,0.3744
203,FIDA_USDT,1.0,0.3759,1,0.3759
168,ZRX_USDT,1.0,0.3812,1,0.3812
237,SXP_USDT,1.0,0.3822,1,0.3822
294,XEN_USDT,1000000.0,3.87e-07,1,0.387
267,SNX_USDT,0.1,3.908,1,0.39080000000000004
164,TURBO_USDT,1000.0,0.000392,1,0.392
52,BNB_USDT,0.001,395.95,1,0.39595
316,CSPR_USDT,10.0,0.03988,1,0.3988
230,GALA_USDT,10.0,0.04004,1,0.4004
315,C98_USDT,1.0,0.4025,1,0.4025
2,ORBS_USDT,10.0,0.04038,1,0.4038
300,ENJ_USDT,1.0,0.4116,1,0.4116
253,HFT_USDT,1.0,0.4249,1,0.4249
254,ONDO_USDT,1.0,0.4347,1,0.4347
279,MASK_USDT,0.1,4.452,1,0.44520000000000004
124,FTM_USDT,1.0,0.4478,1,0.4478
136,BADGER_USDT,0.1,4.549,1,0.4549000000000001
132,XRD_USDT,10.0,0.0472,1,0.472
332,MBL_USDT,100.0,0.004761,1,0.47609999999999997
266,VTHO_USDT,100.0,0.004858,1,0.4858
232,BAL_USDT,0.1,4.871,1,0.4871000000000001
314,1INCH_USDT,1.0,0.4946,1,0.4946
171,GT_USDT,0.1,4.998,1,0.4998
255,JUP_USDT,1.0,0.5023,1,0.5023
293,CVX_USDT,0.1,5.107,1,0.5107
260,WOO_USDT,1.0,0.5129,1,0.5129
138,GMX_USDT,0.01,51.63,1,0.5163
193,VELO_USDT,100.0,0.005182,1,0.5182
211,SLN_USDT,0.1,5.2594,1,0.5259400000000001
188,ALT_USDT,1.0,0.5314,1,0.5314
141,OG_USDT,0.1,5.325,1,0.5325000000000001
64,FLOKI_USDT,10000.0,5.347e-05,1,0.5347000000000001
259,CTC_USDT,1.0,0.5404,1,0.5404
276,PIXEL_USDT,1.0,0.548,1,0.548
74,SAND_USDT,1.0,0.5611,1,0.5611
239,FUN_USDT,100.0,0.005814,1,0.5813999999999999
250,JOE_USDT,1.0,0.5828,1,0.5828
344,ID_USDT,1.0,0.5857,1,0.5857
160,FRONT_USDT,1.0,0.5958,1,0.5958
306,RUNE_USDT,0.1,5.963,1,0.5963
215,IOTX_USDT,10.0,0.05965,1,0.5965
3,PNG_USDT,1.0,0.6019,1,0.6019
238,AKRO_USDT,100.0,0.006027,1,0.6027
320,STPT_USDT,10.0,0.06034,1,0.6033999999999999
166,YGG_USDT,1.0,0.6174,1,0.6174
44,XVG_USDT,100.0,0.006477,1,0.6477
31,DMAIL_USDT,1.0,0.648,1,0.648
229,WIF_USDT,1.0,0.6622,1,0.6622
213,CORE_USDT,1.0,0.6638,1,0.6638
97,PEPE2_USDT,10000000.0,6.68e-08,1,0.668
33,HIFI_USDT,1.0,0.6763,1,0.6763
78,STG_USDT,1.0,0.6816,1,0.6816
341,ARPA_USDT,10.0,0.06946,1,0.6945999999999999
1,KNC_USDT,1.0,0.6977,1,0.6977
115,LUNA_USDT,1.0,0.7091,1,0.7091
291,TRU_USDT,10.0,0.07107,1,0.7106999999999999
70,YFII_USDT,0.001,716.3,1,0.7162999999999999
181,UNFI_USDT,0.1,7.3,1,0.73
77,BLUR_USDT,1.0,0.7422,1,0.7422
131,GROK_USDT,100.0,0.007498,1,0.7498
90,KEY_USDT,100.0,0.007508,1,0.7508
86,MDT_USDT,10.0,0.07593,1,0.7593
121,OCEAN_USDT,1.0,0.7646,1,0.7646
231,STORJ_USDT,1.0,0.7692,1,0.7692
223,REN_USDT,10.0,0.07695,1,0.7695000000000001
12,BEL_USDT,1.0,0.7886,1,0.7886
233,MOVEZ_USDT,1000.0,0.0007914,1,0.7914
130,BSV_USDT,0.01,80.12,1,0.8012
133,SFP_USDT,1.0,0.802,1,0.802
28,1CAT_USDT,100.0,0.008044,1,0.8044000000000001
118,CTK_USDT,1.0,0.8087,1,0.8087
63,NFP_USDT,1.0,0.809,1,0.809
37,OMG_USDT,1.0,0.8105,1,0.8105
157,ZKF_USDT,100.0,0.008156,1,0.8156
68,ANT_USDT,0.1,8.222,1,0.8222
55,STMX_USDT,100.0,0.008232,1,0.8231999999999999
120,EDU_USDT,1.0,0.8255,1,0.8255
226,KAVA_USDT,1.0,0.8259,1,0.8259
